Year,MOM,Mkt-RF,SMB,HML,RMW,CMA,RF,ME,IA,ROE,EG
1967,22.63,24.49,50.51,-8.14,7.9,-15.31,4.21,40.3919,-11.8445,20.3918,-3.5006
1968,2.23,8.79,25.96,18.56,-13.6,16.53,5.21,24.4501,15.1544,-2.0705,11.965
1969,10.0,-17.54,-14.09,-10.05,11.82,-4.17,6.58,-11.8015,0.561,15.1654,12.7084
1970,-3.91,-6.49,-12.57,21.52,-3.05,24.61,6.52,-8.3673,23.4743,-0.461,19.2351
1971,3.83,11.78,6.02,-11.3,10.45,-5.61,4.39,5.7711,1.1773,11.9847,5.6704
1972,15.27,13.05,-11.76,1.8,8.28,-3.13,3.84,-9.9505,4.5445,5.1291,14.9244
1973,29.48,-26.18,-20.18,17.47,-8.76,7.18,6.93,-17.5679,8.0119,1.0975,17.3024
1974,8.23,-35.75,0.56,9.96,-4.43,22.74,8.0,4.6072,19.1689,11.6901,20.0925
1975,-18.9,32.44,19.13,9.14,0.92,0.4,5.8,17.166,7.5387,-5.936,11.2246
1976,7.44,21.91,19.92,24.38,-6.53,7.42,5.08,22.5373,4.632,-3.0372,11.2701
1977,17.64,-8.26,24.48,7.46,2.43,-0.01,5.12,25.1833,2.604,12.0254,17.4607
1978,11.85,1.03,13.77,0.67,4.97,4.23,7.18,12.5495,4.7464,6.2076,13.1038
1979,26.55,13.09,21.05,-2.33,-3.28,-1.66,10.38,21.5253,0.8249,10.7653,3.4591
1980,37.17,22.13,4.84,-24.61,13.83,-12.35,11.24,2.4218,0.8323,30.5123,11.573
1981,-8.25,-18.13,7.3,25.04,-1.42,10.84,14.71,9.9712,11.2728,3.9592,14.0931
1982,34.73,10.66,7.24,13.29,-4.23,17.71,10.54,10.0649,19.5092,6.5627,23.7144
1983,-10.17,13.75,12.21,20.52,0.59,15.98,8.8,10.7142,18.1354,5.4303,16.5515
1984,8.91,-6.05,-8.27,19.13,15.18,3.64,9.85,-9.6595,3.8059,11.0163,15.6618
1985,14.68,24.91,-0.27,1.29,11.95,-2.99,7.72,-0.7126,2.5226,18.3777,16.5643
1986,10.41,10.12,-10.32,9.34,6.98,10.63,6.16,-8.8058,11.4813,17.4933,17.6186
1987,-3.47,-3.87,-11.18,-1.7,6.12,6.7,5.47,-11.358,6.7733,4.6853,12.9955
1988,-5.01,11.55,6.4,14.99,2.94,9.58,6.35,8.629,8.0287,-4.1535,2.594
1989,27.76,20.49,-13.23,-4.03,2.95,7.66,8.37,-10.0465,11.3458,14.492,11.4766
1990,18.31,-13.95,-14.02,-10.03,7.61,0.79,7.81,-12.2161,3.3071,15.7136,10.6348
1991,14.7,29.18,15.81,-14.72,11.61,-14.87,5.6,14.091,-9.4897,21.7963,6.6304
1992,3.43,6.23,9.08,24.49,7.38,7.32,3.51,6.538,8.4006,9.3838,8.853
1993,23.69,8.21,6.26,16.96,-6.91,12.3,2.9,7.1766,11.5153,-0.3359,11.2545
1994,3.21,-4.1,-2.33,-0.89,5.82,3.8,3.9,1.1782,5.1986,12.256,19.4016
1995,18.04,31.22,-8.12,5.97,1.67,2.89,5.6,-6.886,6.6494,10.5951,23.1641
1996,6.39,15.96,-2.86,8.67,15.55,0.86,5.21,1.9215,4.6473,18.3603,19.9294
1997,11.45,25.96,-6.33,19.0,8.8,6.19,5.26,-3.9014,4.7725,10.1543,4.679
1998,23.09,19.46,-28.03,-10.43,3.56,-4.62,4.86,-27.4881,-1.8599,17.6887,19.056
1999,35.19,20.57,8.86,-31.66,-28.04,-8.37,4.68,8.1685,-5.4467,-14.7852,17.8911
2000,15.41,-17.6,3.7,44.98,23.2,30.71,5.89,16.079,21.0945,28.3166,29.1452
2001,4.43,-15.21,23.2,18.52,18.97,13.68,3.83,21.129,10.3902,3.6652,15.2457
2002,25.7,-22.76,5.89,8.1,20.86,14.21,1.65,4.5399,13.8074,15.687,14.7102
2003,-24.35,30.75,24.53,4.61,-20.45,16.16,1.02,22.6708,16.9474,-14.9839,-6.5487
2004,-0.43,10.72,7.5,7.61,8.37,-7.59,1.2,6.4523,-7.2182,1.5418,1.2292
2005,14.81,3.09,-0.75,9.41,1.43,-4.9,2.98,2.5133,-3.4211,9.2482,5.5525
2006,-7.8,10.6,1.56,11.93,3.76,8.84,4.8,3.1564,7.3493,0.8033,0.3448
2007,22.07,1.04,-8.38,-17.18,4.91,-7.54,4.66,-9.2572,-9.4593,14.1751,3.7722
2008,13.53,-38.34,2.74,1.05,14.71,4.21,1.6,2.516,1.9298,12.7764,12.5004
2009,-83.13,28.26,7.87,-9.65,3.34,-2.62,0.1,10.4378,0.1356,-30.626,5.6547
2010,6.92,17.37,13.61,-5.17,-1.54,9.78,0.12,12.1441,9.4075,-4.996,-4.2821
2011,7.17,0.44,-5.5,-8.41,13.48,-1.16,0.04,-7.5593,-0.4711,8.5256,9.5256
2012,1.32,16.27,-0.52,9.99,-5.35,9.37,0.06,5.2204,9.0003,4.3551,-3.7023
2013,7.49,35.2,8.33,2.6,-4.17,0.95,0.02,8.1742,3.6634,-1.3409,-6.7314
2014,1.02,11.71,-7.91,-1.45,1.28,-1.46,0.02,-7.547,0.03,4.5473,8.0815
2015,20.48,0.09,-5.89,-9.65,1.07,-8.75,0.02,-5.5524,-6.9387,9.2972,10.7684
2016,-21.27,13.3,9.31,22.71,4.34,9.97,0.2,5.897,5.629,-2.3536,0.4213
2017,4.63,21.51,-6.16,-13.57,4.85,-11.49,0.8,-1.3823,-13.3494,10.9985,12.1241
2018,9.88,-6.95,-5.09,-9.67,-1.38,0.06,1.83,-5.9513,-0.5703,4.3563,18.1989
2019,-2.64,28.28,-6.16,-10.46,4.32,-3.06,2.15,-7.2181,-3.2991,2.4574,-2.2367
2020,7.75,23.66,3.42,-46.67,-5.22,-11.5,0.45,-1.8668,-16.8596,-13.8765,12.9253
2021,-2.4,23.56,-1.21,25.49,26.69,11.98,0.04,4.7022,12.1949,27.2089,3.6415
2022,15.49,-21.6,-1.61,25.81,6.67,22.43,1.43,1.0599,27.7952,6.7842,-4.8425
2023,-24.23,21.68,-5.99,-13.57,5.93,-20.96,4.95,-6.0892,-23.9903,11.4501,16.7473
